*******************************************************************************
JPL/HORIZONS                 433 Eros (A898 PA)            2025-Sep-08 11:34:56
Rec #:     433 (+COV) Soln.date: 2021-May-24_17:55:05   # obs: 9130 (1893-2021)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2453311.5 ! 2004-Nov-02.00 (TDB)         Residual RMS= .3494
   EC= .2228078944584026   QR= 1.133355399799004   TP= 2453371.5859943051
   OM= 304.4010273379536   W=  178.665326776373    IN= 10.8291838260782
   A= 1.458269315549994    MA= 326.37047603642     ADIST= 1.783183231300984
   PER= 1.76102            N= .559689897           ANGMOM= .020250867
   DAN= 1.78304            DDN= 1.13341            L= 123.090114
   B= .2507387             MOID= .149124           TP= 2005-Jan-01.0859943051
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= .0004463            RAD= 8.42               ROTPER= 5.27
   H= 10.4                 G= .460                 B-V= .921
                           ALBEDO= .250            STYP= S

ASTEROID comments: 
1: soln ref.= JPL#659, OCC=0           radar( 4 delay, 2 Dop.)
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Sep  8 11:34:56 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 433 Eros (A898 PA)              {source: JPL#659}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2453311.5 ! 2004-Nov-02.00 (TDB)         Residual RMS= .3494         
   EC= .2228078944584026   QR= 1.133355399799004   TP= 2453371.5859943051      
   OM= 304.4010273379536   W=  178.665326776373    IN= 10.8291838260782        
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 3.739742611161106E-01  Y= 9.771563321932180E-01  Z= 6.227690580154441E-01
  VX=-1.640089070798141E-02 VY= 3.657007337298757E-03 VZ=-8.820021479138533E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= .0004463            RAD= 8.42               ROTPER= 5.27                
   H= 10.4                 G= .460                 B-V= .921                   
                           ALBEDO= .250            STYP= S                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457023.500000000, A.D. 2015-Jan-01 00:00:00.0000,  2.381863286119983E+08, -5.583207003383540E+07,  3.159902231154742E+07,  6.468866742989579E-01,  2.147705590663185E+01,  2.419301258937072E+00,  8.228184865282585E+02,  2.466747765641465E+08, -3.926552145103460E+00,
2457024.500000000, A.D. 2015-Jan-02 00:00:00.0000,  2.382343476466041E+08, -5.397462798539908E+07,  3.180700332053601E+07,  4.645329509424263E-01,  2.151907984838225E+01,  2.395030646600619E+00,  8.216825282338260E+02,  2.463342248348731E+08, -3.956567049505741E+00,
2457025.500000000, A.D. 2015-Jan-03 00:00:00.0000,  2.382665771054580E+08, -5.211360914885167E+07,  3.201287610967148E+07,  2.813875481798255E-01,  2.155984986745813E+01,  2.370499700575245E+00,  8.205379393987037E+02,  2.459910857345924E+08, -3.986444570520877E+00,
2457026.500000000, A.D. 2015-Jan-04 00:00:00.0000,  2.382829486699399E+08, -5.024912239948349E+07,  3.221661814129034E+07,  9.745239229183053E-02,  2.159935352059978E+01,  2.345707382799361E+00,  8.193847599836008E+02,  2.456453712432237E+08, -4.016182154787735E+00,
2457027.500000000, A.D. 2015-Jan-05 00:00:00.0000,  2.382833941923205E+08, -4.838127769476959E+07,  3.241820678797727E+07, -8.727048659300889E-02,  2.163757820024513E+01,  2.320652653811401E+00,  8.182230306913571E+02,  2.452970935631714E+08, -4.045777205414163E+00,
2457028.500000000, A.D. 2015-Jan-06 00:00:00.0000,  2.382678457048911E+08, -4.651018608862945E+07,  3.261761933246112E+07, -2.727789508491845E-01,  2.167451113305599E+01,  2.295334473142548E+00,  8.170527929796037E+02,  2.449462651231205E+08, -4.075227081186958E+00,
2457029.500000000, A.D. 2015-Jan-07 00:00:00.0000,  2.382362354294121E+08, -4.463595974581231E+07,  3.281483296754529E+07, -4.590707516023316E-01,  2.171013937848240E+01,  2.269751799724480E+00,  8.158740890736508E+02,  2.445928985819007E+08, -4.104529095759898E+00,
2457030.500000000, A.D. 2015-Jan-08 00:00:00.0000,  2.381884957868910E+08, -4.275871195640499E+07,  3.300982479607426E+07, -6.461435248867086E-01,  2.174444982736501E+01,  2.243903592313693E+00,  8.146869619796144E+02,  2.442370068324211E+08, -4.133680516831613E+00,
2457031.500000000, A.D. 2015-Jan-09 00:00:00.0000,  2.381245594076950E+08, -4.087855715045813E+07,  3.320257183093730E+07, -8.339947877047085E-01,  2.177742920059187E+01,  2.217788809933902E+00,  8.134914554977804E+02,  2.438786030056771E+08, -4.162678565309138E+00,
2457032.500000000, A.D. 2015-Jan-10 00:00:00.0000,  2.380443591420095E+08, -3.899561091272602E+07,  3.339305099511146E+07, -1.022621933997099E+00,  2.180906404781641E+01,  2.191406412338408E+00,  8.122876142362113E+02,  2.435177004748296E+08, -4.191520414465903E+00,
